Abutilon theophrasti
Gentiana nesophila
Gentianella amarella
Gentianella detonsa
Gentianella propinqua
Geocaulon lividum
Geranium sp.
Geranium robertianum
Geum aleppicum
Geum macrophyllum
Geum sp.
Geum rivale
Glaux maritima
Glechoma hederacea
Glycyrrhiza lepidota
Gnaphalium norvegicum
Gnaphalium obtusifolium
Gnaphalium paluste
Gnaphalium sylvaticum
Gnaphalium uliginosum
Hackelia floribunda
Halenia deflexa
Haplopappus spinulosus
Hedysarum alpinum
Hedysarum boreale
Hedysarum mackenzie
Hedysarum sp.
Helenium autumnale
Helianthus laetiflorus
Helianthus sp.
Helianthus tuberosus
Heracleum lanatum
Heracleum maximum
Hesperis matronalis
Heuchera sanguinea
Hieracium aurantiacum
Hieracium caespitosum
Hieracium canadense
Hieracium florentinum
Hieracium floribundum
Hieracium Groenlandium
Hieracium kalmii
Hieracium lachenalli
Hieracium murrorum
Hieracium sp.
Hieracium pilosella
Hieracium praeltum
Hieracium pratense
Hieracium vulgatum
Hippuris vulgaris
Honkenya peploides
Houstonia caerulea
Humulus lupulus
Hypericum boreale
Hypericum canadense
Hypericum ellipiticum
Hypericum sp.
Hypericum perforatum
Hypericum punctatum
Hypericum virgincum
Hypochaeris radicata
Ilex verticillata
Impatiens capensis
Impatiens glandulifera
Impatiens pallida
Jaglans sp.
Kalmia angustifolia
Kalmia polifolia
Knautia arvensis
Lactuca biennis
Lactuca pulchella
Lamium purpureum
Lappula echinata
Lappula myosotis
Lathyrus japonicus
Lathyrus palustris
Lathyrus pratensis
Lavandula angustifolia
Ledum groenlandium
Leontodon autumnalis
Leonurus cardiaca
Lepedium virginicum
Lepidium campestre
Lepidium virginicum
Lesquevella arctica
Lesquevella ludoviciana
Lesquevella purshii
Liatris punctata
Limonium carolinianum
Limonium nashii
Linaria sp.
Linaria repens
Linaria vulgaris
Lingusticum scothicum
Linnaea borealis
Linum catharticum
Linum usitatissimum
Liriodendron tulipifera
Littorella americana
Lobelia cardinalis
Lobelia dortmanna
Lobelia inflata
Lobelia kalmii
Loiseleuria procumbens
Lomatogonium rotatum
Lonicera sp.
Lonicera villosa
Lotus corniculatus
Lupinus polyphyllus
Lychnis alpina
Lychnis dioica
Lycopersicon esculentum
Lycopus americanus
Lycopus asper
Lycopus sp.
Lycopus uniflorus
Lygodesmia juncea
Lysimachia ciliata
Lysimachia punctata
Lysimachia terrestris
Lysimachia thrysiflora
Lysimachia vulgaris
Lythrum salicaria
Malus sp.
Malva moschata
Malva neglecta
Matricaria discoidea
Matricaria maritima
Matricaria matricarioides
Medicago lupulina
Medicago sativa
Melampyrum lineare
Melandrium apetalum
Melilotus alba
Melilotus albus
Melilotus officinalis
Mentha arvensis
Mentha spicata
Mentha suaveolens
Menyanthes trifoliata
Mertensia lanceolata
Mertensia maritima
Mimulus moschatus
Minuartia groenlandica
Mitchella repens
Mitella nuda
Moehringia lateriflora
Moneses uniflora
Monotropa uniflora
Myosotis laxa
Myosotis sp.
Myosotis scorpiodes
Myosotis sylvatica
Myrica gale
Myrica pensylvanica
Myriophyllum alterniflorum
Myriophyllum exalbescens
Myriophyllum sp.
Myriophyllum tenellum
Myriophyllum verticillatum
Nasturtium officinalis
Nemopanthus mucronata
Nepeta cataria
Nuphar varigatum
Nymphaea odorata
Nymphoides peltata
Odontites serotina
Oenothera biennis
Oenothera sp.
Oenothera perennis
Origanum sp.
Origanum vulgare
Oxytropis campestris
Oxytropis deflexa
Oxytropis gracilis
Oxytropis johannensis
Oxytropis sp.
Oxytropis terra-novae
Packera pauciflora
Packera paupecula
Panax trifolius
Papaver radicatum
Papaver somniferum
Parnassia glauca
Parnassia sp.
Parnassia palustris
Parnassia parviflora
Pastinaca sativa
Pedicularis capitata
Pedicularis flammea
Pedicularis lanata
Pedicularis lapponica
Pedicularis sp.
Pedicularis palustris
Pedicularis sylvatica
Petalostemon purpureum
Petasites palmatus
Petasites palustris
Philadelphus sp.
Phlox maculata
Phlox paniculata
Phyllodoce caerulea
Physalis sp.
Pinguicula vulgaris
Plantago lanceolata
Plantago major
Plantago maritima
Plantago sp.
Plantago rugelii
Polygonum amphibium
Polygonum aviculare
Polygonum cuspidatum
Polygonum fowleri
Polygonum hydropiper
Polygonum sp.
Polygonum penslvanicum
Polygonum persicaria
Polygonum sachalinense
Polygonum sagittatum
Polygonum scabrum
Polygonum viviparum
Populus alba
Populus balsamifera
Populus nigra
Populus sp.
Populus tremuloides
Potamogeton sp.
Potentilla anserina
Potentilla argentea
Potentilla Crantzii
Potentilla fruticosa
Potentilla intermedia
